Questions,Answer
"I was reading, ‘What comes first: peace or happiness? Can you be at peace if you are not happy? Do you get happiness from external factors or from within? The mind is fickle like a fast galloping horse and the only way to control it is by involving it in good actions beneficial for all.’ I need your help to understand this.","The quotation says—‘When you are at peace, you will be happy, depending on what your idea of happiness is. Whether you get it from outside or from inside.’ Let us stop and check what outer happiness is. It’s actually not outer happiness—it’s an outer stimulus that I use to create happiness for myself."
"‘I create happiness’. Emphasis is on our creation. You never say, ‘it gives me happiness.’","At every step, when you are happy, when you are hurt, or when you are upset, just stop and ask who is creating it. I am creating it, irrespective of the situation or stimulus. The more we are aware, the more we will understand that we have held people or situations responsible. Whereas, all the time it was we who were creating it. That is the awakening. Now we only need to take care of how to change what I am creating. Without this understanding, we would feel powerless, because we believe people are responsible for our happiness and people are responsible for hurting us. We wait for them to be nice. At the same time, we hope they will always be nice to us. What if tomorrow they are rude? We will not be happy. There is dependency, and hence fear. When we understand that everything is happening in the mind, there is no insecurity or fear of the future. Situations could be pleasant or not so pleasant, people could be pleasant or not so pleasant. I only have to take care of one person —me. It becomes very simple. You mentioned about the mind being fickle, and the only way to control it is by engaging in good acts that are beneficial for all. An indecisive and inconsistent mind is said to be fickle. When the mind keeps changing, the quality of thoughts is not very nice. When we are peaceful, our mind works slowly and cautiously. When we are worried, thoughts are very fast. When we are stable, the speed is slow. When we are fearful, the thoughts gain speed. So if my mind is fast and inconsistent, it means the quality of energy is not right. And now we want this mind to do an act that is for the good of others. Benevolence is not in the act, it is first in the energy that I send out while doing the act. Here again, by asking you to do a benevolent act that will control the mind, which is running haywire, we are putting the stress on ‘doing something outside that will help you to be peaceful’."
"When I am in a bad mood, suppose I listen to music or start dancing, it changes my mood. The mind is not as agitated as before. So the outside-in approach works to an extent.","Outside–in approach works only to an extent and only sometimes. People say we need to count to 10 when angry. But often, we don’t even realize before we react out of anger. If we had that awareness—that now I am angry, that I need to stop and drink water, or that I count numbers—we would be aware enough not to react."
So we come back to just being aware.,"Yes. These are only minor suggestions for us to pause, take a break, and work on our mind. Like you said, dancing takes my mind to a calmer position, to understand. So you have just given your mind a little gap. If I am upset about something, instead of confronting you right now, I take a little gap. Now what is that little gap for? Just to ensure I don’t confront you right now. I postpone my external reaction. The internal reaction is there. But I resolve the issue internally and then decide how to respond. There is a difference between reaction and response. Reaction is automated and not in my control. Response means I think, understand and then act. That’s why we try and bring in those time gaps. But quite often, reaction is so fast that the time gap is lost."
"When I was running a business, I would write many letters in anger in the night, after closing down office. I would keep the letters to post the next morning, but I never posted them.","When the mind works very fast, it is wise to postpone our reaction till it slows down. Then we see the situation in a different perspective and then choose to respond differently. This is what we are trying to achieve. We are also trying to keep the mind working at the right, steady speed always."
We again go back to awareness.,"Yes. If you are aware, the speed is fine. Suppose a young child is playing in the room. If the parent is not looking at the child, he will do whatever he wants. He may fiddle, drop or break things. Now if the parent just stands in a corner and starts watching the child—not saying or doing anything, but just watching the child, he becomes aware and withdraws from mischievous activities."
So we need to watch this inner child that is our mind.,"That’s the journey, and it is not going to happen in one day. Have you been able to do it sometimes?"
Yes.,That’s the proof that we can do it.
But I feel my mind doesn’t like this kind of monitoring.,"A child never likes to be disciplined, because he is used to running around and doing what he wants. Suddenly if I tell the child I am going to take charge of him and that he has to obey me, he may not like it. But gradually the mind gets used to this way of thinking because it is going to be at ease. Even the mind is tired now, as it has been working at a very fast pace."
Can we switch it off like we switch off the engine of a car.,"We cannot switch off the mind even when we are fast asleep at night, forget switching off in the day. We need to understand why the mind works like this and the influencing factors. We know about positive thinking, yet negative and waste thinking comes naturally. What are the factors that influence the quality of thoughts? In any situation, the thought I create is influenced by three factors. One factor is past experiences. If I had an interaction with you before, if I had done business with you before, I have a past experience. Every time I think of you, my quality of thoughts will be based on those past experiences. If it had been a pleasant experience, my mind creates nice thoughts. Second factor is information. Everything that I take in through my sense organs—what I read, what I watch, what I eat—everything that is going in has an effect on the mind. Information plays a vital role on the mind. The mind is very clean soon after waking in the morning after being well rested. So it is fresh and ready to create, and ready to absorb. In the morning we usually read the newspaper or switch on news channels. This means we are reading, listening and watching about terror, violence, natural calamities, financial issues, social and political upheaval, and so on. The mind, which is like a clean blotting paper, absorbs this chaotic information. The kind of information will influence the thoughts. Information is the food, thoughts are the resultant energy. If I have eaten the right food, I am going to be healthy. If I have not been eating the right food for the mind, my emotional immunity is going to suffer."
"Whatever we are taking in through media, through surroundings, affect the quality of our thoughts, is it?","Negative information will certainly give rise to negative thoughts. Because that’s the raw food that I have taken in. Thoughts are creating my destiny as per the inner mechanism, but what’s creating the thoughts is the raw food, which is information. So, if I want to take charge of my thoughts, if I want to change the quality of my thoughts, I will have to first change the quality of the raw material that goes in. During the first two hours of the morning, the absorption power of the mind is very high. If we are reading, watching and listening to negative content during this time, though we want positive thinking, from where and how is it going to happen? Moreover, suppose a child doesn’t return home on time in the evening, and his phone is not reachable. It becomes so natural for parents to think that the child is in trouble. We need to assess why we feel that something could wrong have happened. Why are we creating a negative thought?"
And what is the kind of energy we are sending into the universe?,"Yes, suppose the parents wait for 30 minutes and we still can’t get in touch with the child. What is going to be the quality of thoughts as they wait, or in any other similar situation? But they will say—‘Is it not natural to think negative? How can we believe everything is okay?’"
"We fail to think that the child must have met a friend or gone to a movie, and unable to connect to the parents for some reason.","How often are we able to think that someone is late because something nice must have happened? Negative thinking comes easily because that’s the quality of information we have inside us. Even if we start with this simple practice of not watching the news or reading newspapers early in the morning, it brings about a big change. Protect yourself by not consuming toxic food in the morning. Just this simple practice will bring visible results."
Then we will not blame situations; we will be responsible,"Situation is a trigger and information is present inside. When a trigger comes, the quality of the thoughts created will be influenced by the quality of the information we have."
"When the child comes home, parents vent their worry and anger on him.","That happens because for one hour they were creating only negative thoughts. This stimulant has just returned and parents think he is responsible for all that they created. So there it goes. All the toxic energy they created in that one hour of wait radiated as vibrations to the child and also to everyone around them. And then they say it was natural. No, this is not natural. Natural is, the child has not returned on time and they are unable to contact him. The situation is not in their control. Let us always see immediately what is in my control and what is not. If the situation is in our control, take charge. Otherwise there is only one thing in our control—our quality of my thinking."
But why is it easier to create a negative thought rather than positive?,"We just have to fill in a different quality of information. It’s as simple as that. When I change the quality of the information coming in, my thoughts change, the way I respond changes, and my destiny changes. I have a choice. When the newspaper comes in the morning, I have a choice as to what time I will read it. So let’s take this one resolve today and experience a big change. Postpone the newspaper and the television news to the later part of the day, and substitute it with very pure and powerful information. This simple change to our morning diet for the mind will make all the difference. So one positive step in the morning, and similar positive step just before going to sleep is the remedy. Today what are we taking in just before going to sleep? Television serials or horror movies. That’s the last layer of information going in. The first layer of information in the morning influences our thoughts during the day. The last information before we go to sleep influences the quality of our thoughts at night. Let’s devote 10 minutes to reading something pure and powerful after we have finished our duties for the day. We have to fill in the information first because if we just sit and try to create positive thoughts, we won’t be able to do it. We need to change the last layer of information. Once we finish reading, we will sit back and reflect on that, unpack what has happened in the day. That’s very important. Let’s not sleep with unresolved issues. Situations had come up and there were times when we did not respond the right way. Reflecting on the day does not mean recalling everything that happened. Just reflect on the way we responded and see how else we could have responded."
Can we have a meditation to follow before going to sleep?,"Relax and Reflect on these thoughts. Let’s sit back, with the body relaxed…. Just before going to sleep… let me look at the day…. An entire movie has passed scene after scene… with lots of actors around me acting according to their scripts…. Let me not get entangled in the situation…. Let me just watch myself playing the role… as a detached observer…. I will just focus on my performance… let me not look at the other actors in the scene… no judgement or comment…. I am looking at myself… my response and my script in every scene…. As a detached observer let me ask myself… was there any scene that I could have performed differently…? Did I have another choice to the way I was writing my script…? Let me play the scene again on the screen of my mind… same scene but a different me… with a different script…. I am programming my mind and preparing my mind to a more powerful and a positive response for the next day…. Om Shanti!"
"How important is our belief system, for happiness?","We have seen the entire internal mechanism—where every thought I create gives rise to a feeling, and the feeling develops my attitude. The attitude comes out as action, repeated action becomes habit. Habit develops my personality and my personality determines my destiny. This is the process from thought to destiny. So every thought becomes very important. But what determines the quality of my thought? Everyone is talking about positive thinking, yet why does negative thinking come so naturally the minute there is a stimulus or a trigger? The factors that determine the quality of our thoughts are past experiences and the information we consume. These two play a very important role in the quality of our thoughts. The third and the most important factor is our belief system. Our body is like a computer: I the soul is the operator, and the belief system is our operating system. As will be the operating system, so will be the way the software will run on the machine. Certain software run on a particular operating system, while others run on an operating system. The computer is important, its operator is important, but the operating system plays a huge role. At times a virus can attack the computer’s operating system and hampers functioning. This is comparable to a certain wrong belief, which can hamper the way we think, and alter our destiny. Spirituality will help us install an antivirus. Many people use a computer but do not install antivirus in the machine, so time and again the system tends to get corrupt."
They also don’t see its expiry date,"Yes, you need to update your operating system. What is the sign that my system crashes once in a while? Outbursts of anger, pain, or being hurt are signs of a system crash. It’s time to understand and check how often my system crashes in the whole day."
So many people are irritable throughout the day.,"And then they call it natural and their natural behaviour. They say, ‘This is how I am.’"
They also insist that somebody else has passed the virus on to them,"Even if someone passes a virus to me, it’s still my responsibility to counter it with an antivirus. No one else is going to give me the antivirus. Times are getting tougher, situations are challenging, people are increasingly vulnerable. Suppose I have known you for years, but your temperament and behaviour has suddenly changed. I have known you to behave in a particular way, so I don’t expect you to behave differently. Let’s say your nature is to be jovial and carefree, but you are going through a conflict so your temperament has changed. I am used to you talking to me humorously. So now I can’t understand why you have withdrawn and not interacting the same way"
What is your role and my role in this case?,"My first responsibility will be to take care of myself and not get hurt. Otherwise, that is where friendships and relationships suffer. If I get hurt, then I am only nursing my own wounds. If I am hurt because you did not talk to me properly, I cannot help you. I take it personally and start feeling you are angry with me. I assume you do not respect me anymore. While I am creating all this pain, I do not understand that your changed behaviour is not because of me, but because you are in pain for some reason. Since I am in pain, I will not be able to help you to heal."
But why does other people’s behaviour matter so much to us?,"Since we seek acceptance, appreciation and approval from people around us. The magnitude will vary, but acceptance and approval from people around us seem to have become a foundation for our self-esteem."
Why do we often misunderstand people?,We misunderstand because we are hurt. We are in pain. When in pain we will never see the situation in the right perspective.
That is when it’s easier to misunderstand than understand.,"Your shirt is white in colour. But if I wear different-coloured glasses or lens, it will appear a different colour to me. You are who you are, but if I wear a different colour or perspective every time because of my pain, my hurt or my ego, then you will appear different to me. This creates misunderstanding. We need to clean our own lenses or windows. We shouldn’t ask them to change what they are wearing."
Do meditation in the morning and night help us clean our perspective?,"Absolutely. If there is emotional blockage or a negative thought I will look at everyone through that window. If I have been hurt because of something that happened with you and I am in pain, I carry that pain with me to everyone I meet. So I will see everyone through that pain. If I have been rejected by you and my self-esteem is low, then my self-esteem will be low with everyone. It doesn’t happen that my self-esteem is low only when I am with you and is high when I am with someone else."
But some people do make us feel comfortable. They raise our selfesteem.,"But we cannot be dependent on people to lower or raise our selfesteem. If I find 5 people who help me raise my self-esteem, I may meet 50 who can bring it down."
That is why people find their own comfort zone of family or friends.,"But who provides this comfort zone? Even within family and friends, there are many who will lower our self-esteem."
"Out of 20 family members, we are comfortable with just 4 or 5. But our topic itself is ‘happiness unlimited’ , and by choosing such comfort zones, we are limiting ourselves.","Let us say being with you raises my self-esteem, because you accept me unconditionally. But you are able to do that only when you are in a stable state of mind. Tomorrow, if you go through some problem, you lose your capacity to accept me unconditionally."
Not only when I am in a problem. But tomorrow I may just not like what you do and my behaviour towards you can change.,"Absolutely. I was comfortable in your company till today, but now I have to prove myself to you. And as soon as I start to prove myself, there will be fear. I am not sure if you are happy with me, whether I have been able to prove myself right. In this process I am not sending the right energy."
We come back to the point that one has to be independent.,‘In-dependent’: dependent only on that one who is inside. Let’s not be ‘out-dependent’ because things outside will change and they have a reason for changing.
Does that make us a little recluse?,"Let’s always remember that in order to heal and to help others, I will have to be healed first. If I am healed, I will be there for other people. If I am in pain, I can never be there for anyone else. I have to first take care of myself to be there for others selflessly."
"Does this amount to selfishness, but in a positive manner?","This is the foundation for being selfless. Today even when we are doing something for others, it is less with the intention of giving and more with the intention of taking. Even while doing for others, we are satisfying some vacuum within ourselves. So it is actually being selfish."
"That makes self-care necessary, to take care of others.","The equation flows this way: Only a healthy person will be able to heal others, will be able to understand others. Without understanding my thinking, my attitude, I cannot understand why you are feeling a certain way. I am not ready to understand why I am hurt, but I want to understand why you are upset. How is it going to happen? The wonderful part is, when we understand how our mechanism works, understanding others becomes easy. If I am hurt, I will immediately be able to realize that I am hurt. I understand the reason and check my attitude. It’s up to me how long I want to remain like that. Now if I see someone who is upset, I can go beyond the visible hurt to see what they must be going through, for them to behave that way. It becomes easier to be with people. We don’t look only at their criticism, we look at the dynamics inside that person’s mind, for them to be so critical. So, we just have to understand our mechanism—then we can understand everyone else’s."
"One of my neighbours was always angry and ready to pick up fights. When I complained about him to another neighbour, she said, ‘Poor chap, he must be in some kind of pain to behave like that.’ Now I understand what she meant. Understanding others is very difficult. If my wife’s behaviour changes, I never ask her if something is wrong. I just get irritated and leave her alone to manage it herself. Why couldn’t I ask her if she needed any help?","This is withdrawal. When we can’t handle other people’s temperaments, we withdraw. Even if it is temporary, even if it is for one hour, when the other person is in pain, we withdraw. Think of your wife getting angry or behaving in a slightly different manner. It could be a sign that she needs help. However, you move one step behind and think you will come back later. But right now she needs you more. It’s because you are not able to take care of yourself that you move away. This is not support. We are not there for each other emotionally, though physically we are living in the same house. We are not there to heal each other because we have not healed ourselves. Suppose you are sitting with a friend, and your son walks into the room. He doesn’t greet you but just walks past both of you. The thoughts that come to the mind are, ‘What’s wrong with him? Where are his manners? My friend would think I haven’t brought up my son the right way. He may tell others about my son; what will everyone else think about me?’ So here we are nursing our own wounds. My responsibility is to not to question why the child is behaving like this, but to see what is the pain within him that caused him to behave that way. Now if you go to his room and question his behaviour, your child will request you to leave him alone. When the parent has been hurt or felt disrespected, the child will not want to be with the parent at that moment. Right now the child is in pain, and he doesn’t want to be with anyone else who is in pain. You will love to meet somebody who is absolutely stable and is accepting you unconditionally, extending unconditional support. We don’t get this from too many people today. Unconditional acceptance means I do not fluctuate internally, irrespective of your temperament. And I am not judgmental about you. The energy we receive from someone who accepts us unconditionally heals our pain."
"Don’t we fluctuate automatically? If you raise your voice, I raise my voice. If you are soft, I am soft. If you smile, I also smile.","We keep changing our behaviour according to everyone else. Because of this, we tend to forget our original qualities. My sari is white in colour but if I meet somebody in red, I paint it red. When I meet somebody in black, I paint it black, and when I meet somebody in green, I paint it green. At the end of the day there is no white left. So where is my personality? I coloured my personality according to everyone else’s personality. And it’s actually not their personality either; it’s my perspective about their personality. We don’t know people as they actually are."
Are we not capable of knowing?,"We won’t be capable when we are seeing them through our perspective. There is only one person who knows me well and that’s my own self. No one else can claim that they know me very well. No, they know me through their perspective and that perspective keeps changing."
So a child knows his father from his own perspective.,"Absolutely. The same father will get along with his three children in different ways, because the children see him in different perspectives. One might be very scared but that’s because he or she is weak. Second child could be very confident and comfortable running to him. The third child might just stand in the corner, neither scared nor comfortable. The father’s nature and personality are the same. So if one is comfortable, why is another scared? One has a meek personality, so he sees the same father through his perspective."
"If we consider the example of a couple: If a husband is tough, the wife says ‘Can’t you speak softly?’ In some other situation she may say ‘Can’t you be tough sometimes?’ So we are not happy with one kind of role our partner plays. We want them to be different at different times.","Because that wife has mentally created an image of a right husband. We get into a relationship with the image of an ideal partner or an ideal friend. Then we spend our lifetime trying to change the person to fit into that image. Let’s say my image is that of a partner who is an extrovert, dynamic and loud. But if I have a partner who is soft, quiet, and an introvert, I will not like his nature. So it’s not about how he is as an individual; it’s about what image I created of him in my mind. I will keep on saying, ‘This is not how you should be, you should be loud, you should be more open, you should be like this, you should be like that…’ And even if he becomes an extrovert, I might say, ‘You should not be so outgoing…’ Basically I will want the person to be exactly the way I imagine him to be. It’s like going to a tailor who will stitch your costume according to the measurement that he prefers. He tells you that you have to change your body to fit into what he stitches. He doesn’t create the costume according to your measurement. And that’s why we keep fluctuating. We keep changing according to what everybody wants."
We fluctuate because of them or because we are not stable?,"What happens if I meet 10 people, and I feel my happiness is dependent on making these 10 people happy? Each of them expects to be a different kind of person. If I keep changing, where is my original self? I will eventually get suffocated because I am struggling to change."
"How do I come out of this struggle? Also, can we have a meditation?","Actually in our innate system, there is a core that never gets corrupt. That’s the consciousness. Meditation is the process of passing those layers of belief system and reaching that core, which is the spiritual energy. Relax and reflect on these thoughts. Meditate. Different people I meet the entire day have different personalities… each one is operating through their belief systems… their rights… their wrongs… their perspectives…. Let me look at myself… through which perspective do I interact with each individual I meet…. Is it an influence of their personality… am I changing according to everyone I meet… or am I able to hold on to my internal, pure, original personality… Let me look at myself today the entire day… meeting about twenty people…. Let me see myself with each one of them… interacting through the core of my personality… my original sanskar of purity and cleanliness…. I the flawless, perfect, pure being… uninfluenced and undisturbed… by anything and anyone around me. Om Shanti!"
"Sister Shivani, how much do past experiences influence our mind?","We cannot avoid our past experiences. They are already recorded in our memory, but we can try not to play the same record repeatedly. Because every time we play it, we are converting the past into the present. We are creating the same emotions all over again, and every time we create the same emotion, we deepen the sanskar. When it comes to recalling bitter past experiences, it is like deepening a wound by scratching it. It’s a past wound; we need to heal it. But if we open the Band-Aid from time to time and scratch it, how will the wound get healed? Sometimes we also get others to join us to discuss a painful event. So our wound never heals. The past has passed. Full stop. No comma, no question mark, no exclamation mark. No why, what, how… just a full stop, so that we are able to move ahead, fresh and clean, and now what we create will get recorded. People say we remember the past because we have to learn from the past, but what do we have to learn from there? We just have to check the way we responded in that scene, and learn if there was a more comfortable or better way to have responded. Other than that, there is nothing to learn from a past situation. We only have to learn from our response. Holding on to things, not letting them go, accumulating emotions and reliving them will only cause more pain. It’s like you are holding something in your hand for hours: the weight of the object remains the same but the hand will start hurting after a while."
"People complain of chronic headaches, skin diseases, and even doctors sometimes cannot diagnose the reason.","Because we are holding on to the past. We need to remember that it’s over. It’s the past, not in our control."
"But if something tragic happened in my past and a friend asks me what the matter is, I will share with him.","It is comparable to opening up the Band-Aid put on our physical wound, and scrubbing the wound. We had gone through so much in the past. But when we think about it again, we experience the same pain all over again. So we need to ask ourselves, ‘How many times am I going to relive the same painful emotions?’ More importantly, anything done repeatedly becomes my personality, and then I carry that personality with me everywhere. We may not discuss the past with everyone, but because it’s in our mind, that pain becomes a part of our vibrations."
Don’t we also attract such people and such situations?,"We are not attracting situations, but we are responding to situations in a similar manner as before. If there is a challenge, since we are already emotionally low, we don’t have the power to face the situation in a proactive way. I am already hurt about something that happened years back, and here comes another fresh stimulus. I don’t have the strength. The pain that I will create will be much more than what I would have created, had I healed my past. Also, the pain created because of one particular situation or person, does not remain only in that relationship with that person. The pain has now become a part of my personality, and I will tend to get hurt more easily in other relationships too."
So it becomes a vicious cycle of pain and more pain.,"Because it’s my personality, not theirs. I can use you as the stimulus and say I am hurt, but now it’s my personality. This personality will go with me to every situation and every person. So I am vulnerable every time. When there is a challenge, it’s not about changing your job, it’s not about changing your partner, your friends, your spouse. It’s about making yourself stronger. And then your emotional immunity system is strong, no matter where you are and who you are with. You will get along with any person or situation."
Is it easy to change thoughts?,"People are creating miracles in their lives. They themselves are doing it; no one else does it for them. The first realisation is—IT’S ME, NOT THEM. We are responsible for how we feel; we have no one to blame. I have seen couples who were on the verge of divorce coming back to a happy married life, with only one understanding—it’s not him or her, it’s me who needs inner work. This is when things will change."
"In a divorce, it’s usually a blame game","In a divorce it is usually about, ‘You are wrong.’ Now we understand, it’s my response to the situation, irrespective of his or her behaviour. So, we start focusing on our response."
"They will say ‘If you speak like this, then naturally I will respond like this’. How do you still change?","So that is the realisation. ‘You speak like this,’ but now I will choose how I am going to respond. The equation has changed. I got a phone call from a 24-year-old married woman, standing on the terrace of her house and wanting to jump down. As a last resort, she just called up and said, ‘I don’t want to live and I was about to jump down, but I thought I will just call up and find out if you have a solution. My husband is having an affair with somebody in the office and he wants to divorce me. I see no reason to live.’ She was totally shattered. ‘What about my parents, society and others?’ At that moment I was speechless. I said, ‘Okay, first come down. So what is it that you want?’ She said, ‘I want everything to be back to normal like it was. I want my family life, my married life to be what it was.’ I said, ‘Create a thought that everything is fine’. She said, ‘But everything is not fine’. I said, ‘I know, but what do you want?’ She replied, ‘I want everything to be fine.’ I said, ‘Now create a thought that everything is fine and my husband is absolutely fine, nothing wrong has happened.’ For about 10 days, we spoke for almost an hour daily on the phone. She used to say, ‘Everything is not fine. How can I create this thought that everything is fine? What should I do? Should I go and talk to that girl? Should I go and talk to that girl’s parents? Should I go and talk to my husband’s parents? What should I do?’ I had to repeatedly get her back to creating the same thought, that everything was fine. Finally she started working on changing her thought. She started repeating, ‘Everything is fine. My husband is absolutely fine. Nothing wrong has happened.’ She stopped crying also, and she eventually became more stable. Now when her husband came back from work, she wouldn’t be crying or weeping. This provoked him even more. He would be abusive and find faults with her, because he was trying to justify his own action. She had to remain stable and just keep telling herself, ‘Everything is okay, I am in charge of the situation, and I am in charge of myself.’ After one month, her husband handed over the divorce paper to her, saying his company was sending him to the USA and that the other girl working in the office was also going. They were going to get married there. She called me up and told me what happened. Then she surprised me by saying, ‘You know, I am fine. I think I will be able to take care of myself. I will take up a job and I will be able to live with my parents.’ In one month she had changed her thoughts. The situation was the same as it was one month ago, but she had changed her thoughts. She just worked hard on herself. The husband left. Two months later he called up from the USA and said he wanted to come back. She called me up and asked ‘What should I do?’ I asked, ‘What do you want?’ She said, ‘I want everything to be back to normal.’"
That’s what she always wanted.,Yes. And today it’s more than four years since that episode. They are living together happily and have a daughter too. All the effort was made by her. The knowledge that we learn at Brahma Kumaris and its simplicity makes it easy to adopt and implement. People have to just take up the challenge and make that effort initially.
Did she feel a sense of failure when the husband was leaving to the US?,"It was not a failure. We were not looking at the situation; we were only concentrating on her being able to take charge of her mind. Situations are not in our control. We expect that spirituality or religion will change our problems. No, they won’t. Problems and challenges will arise; obstacles are going to be there. Spirituality gives us the power to take charge of the self and then face the situation."
"But when she was creating the thoughts that everything is fine, she was trying to change the situation.",She was changing her thoughts.
Wasn’t she changing the situation in her imagination?,She was not imagining. Everything was fine in her mind. It’s always in the mind first. I have to be okay internally.
But what kind of visualisation did you give her? You said ‘Just think that everything is fine; nothing is wrong.’,"If a partner or a child is drifting away in a relationship, what’s the energy that we send out to them? Anger or hurt. Someone is already drifting away and we are sending out negative energy. It will only take them further away. If you want the person to come back, you have to send powerful positive energy. For that, we need to stop being critical and judgmental about that person. We need to respect them as we always did, and so we need to create the thought that nothing wrong has happened. From the other person’s perspective, they have logic for what they are doing. We may find it wrong but they have a reason. I have spoken to so many families where there is a conflict between partners or between parent and children. If you talk to both parties, you will never be able to decide who is right and who is wrong, because none of them is wrong. You listen to one and you will say, ‘Perfect, this person is absolutely right.’ And when you listen to the other person, what they say will make equal sense as well. So it’s just that each one is right from their own perspective. Now all that we have to do is, show them each other’s perspective."
We can approach the situation with understanding and knowledge.,"Let me share about another couple. The wife had been living separately for the last three months because the husband used to abuse her. After 10 years of bearing the physical violence, she finally took her daughter and left. She met me to see if any solution was possible. She was constantly weeping while talking about it. I asked her how her husband’s childhood had been. She said it was not pleasant. He was a single child to working parents. They did not spend enough time with him, so he had been very lonely. What I understood was that the husband felt he had not got love from others around him. In his wife, he found a person to call his own, and used abuse to show power and control over her. It was actually because he was insecure and possessive, and he was in a lot of pain inside. When I explained this to the wife, instead of hatred she was now filled with empathy. She said, ‘My husband was in pain all this while, and I thought I was the one in pain.’ This reality changed her, and now they are healing each other. It’s not that the situation is solved in one day, because the husband says he doesn’t know why he gets so aggressive. Such things happen because of emotional blockages. It’s just that we need to be able to detach ourselves from our point of view, see the other person’s view, and understand what provoked their behaviour. But what had happened is when the husband mistreated her, the wife could feel only her own hurt. She could not understand what he was going through, and vice versa."
What if both of them had a bad childhood?,"Both of them came to me next time. The wife was constantly weeping. She kept insisting on the husband ‘Promise me that you will never hit me again, only then will I come home.’ The husband said ‘I promise I will try.’ She said, ‘No, give me a guarantee that you will never do it again’. So I told the lady, ‘You guarantee that you are never going to cry again.’ She promptly said ‘I will try.’ It’s so easy to tell other people to change, because we don’t have control over our own sanskar."
But can we change the sanskars?,Absolutely. By understanding and seeing what the reason is.
How can I find the reason within me? It takes ‘you’ to find it or can ‘I’ find it? Suppose I get angry very easily; how do I know what kind of sanskars I have? Will I have to go through my past?,"You definitely need to check your past. Suppose someone has had a troubled childhood—maybe parents were critical, physically abusive, or any other reason. The child always has to try to keep proving himself, and still keep going through pain because of the criticism received. Now, as this child grows up, he builds a defence mechanism. He does not want to continue going through the hurt and pain, and so he becomes loud and aggressive. Before anyone can say anything to him, he tends to snap at them. People will start fearing him. This is a protection wall that the person builds, so that no one will muster the guts to say anything to him. But on the inside, he is an innocent, fearful and hurt child."
He had gone through some situations that he could not fight.,"Not only that, the child experienced hurt at that time. Now the child doesn’t want to get hurt again, and this will be so even when he is 30, 40 or 50 years old. Only when this person consciously starts working on himself and says, ‘I will not get hurt even if someone says something,’ he starts becoming strong inside. Now he can drop this artificial defence mechanism and be his natural, polite, humble self with everyone."
Does being aware of thoughts help us detach from our views?,"Absolutely, because when we detach from our own perspective, we see the larger picture. Like in the case of this couple, the wife could see only her perspective and say, ‘How can my husband abuse me? He does not love me’ he does not respect me.’ What she is feeling is right, but she can see only her perspective. But when she detached from her perspective, she was able to see her husband’s pain and his perspective. She then became stable. Her hatred turned into empathy. We all talk about understanding people. We say we cannot understand the other person, which means we just cannot see their perspective, because we are so attached to ours. Earlier we could see the situation only from our side, and from our side it was totally different. For me to be able to see from your side, I need to get up from this chair and then come and sit on that chair. For that, I have to detach myself from this chair. But if I am so stuck to my position, to my ideas of right, I won’t even get up from here. When I get up to be on your side, that’s empathy and understanding, and that strengthens relationships."
"You mentioned the other day, that when a person feels empty within, he tends to be angry. What does emptiness within mean?","Vacuum. Many people will say they have everything in life, professionally, personally and materialistically. But inside there is something amiss. They are not even very sure what they are talking about."
Is it some kind of an emotional fulfilment they are looking for?,"All that we were doing—studying, working, achieving, even building relationships—we were doing in order to get happiness and contentment. Today at the age of 30 or 40, we realise that we have got everything but we are still experiencing stress, anger and anxiety. So I am empty in the sense that I haven’t got what I wanted, even though I got the whole list that I thought would give me contentment. So I say I am empty. While achieving external success, we might have even compromised a lot. That compromise made us empty. Peace is our nature, but we created anger. Honesty is our nature but we compromised on values at times. Humility is our nature but we created ego to feel powerful. Every time we were doing these things, we were going against our natural personality."
"But we feel bad about it, perhaps guilty too.","Not only feel bad, we need to think of how the journey has been. Let’s say this glass is full. Now I am on a journey towards my goal, but I have to take care that water in this glass should not spill. If I keep spilling the glass during the journey, some 10 years later I would have achieved everything but the glass will be empty by the time I reach there. Then I will say that I am empty because of the anger and resentment I created. I did everything possible to achieve what I wanted. It doesn’t mean achievements are wrong. It’s just that I should have taken care of this glass while moving towards my goals."
"Not only feel bad, we need to think of how the journey has been. Let’s say this glass is full. Now I am on a journey towards my goal, but I have to take care that water in this glass should not spill. If I keep spilling the glass during the journey, some 10 years later I would have achieved everything but the glass will be empty by the time I reach there. Then I will say that I am empty because of the anger and resentment I created. I did everything possible to achieve what I wanted. It doesn’t mean achievements are wrong. It’s just that I should have taken care of this glass while moving towards my goals.","No, look at a child—always contented and serene. That’s what is so attractive about the child. But later we condition the child’s mind that in order to be happy, he has to get more marks. In order to come first, he has to be stressed and compete with friends."
